 Brevard ; Broward ; Clay ; Alachua ; Duval ; Indian ; Manatee ; Miami ; Palm Beach ; St. Lucie ; Volusia 
208558,83;229112,13;243110,2;28816,43;192996,41;189600,61;226589,22;307576,33;556706,28;235165,99;79588,49
190636,9;90563,08;317608,07;6520,8;197083,29;191925,58;228838,1;479733,2;336650,1;120966,72;236426,58
195865,17;324671,83;131633,6;32157,77;185278,77;189533,88;106015,32;282984,13;734603,11;156269,17;345292,63
213011,2;259010,06;275683,83;80757,24;190136,15;189768,44;223455,77;287605,24;447658,32;148466,4;153403,37
181018,99;302807,31;94798,96;118332,06;194683,58;190875,34;109716,53;207922,93;618327,38;84709,23;195040,16
180675,92;409458,35;100043,24;74090,49;188962,24;189654,35;143454,23;440826,44;591821,83;309133,12;192794,12
186837,22;149007,02;366338,43;44863,8;193655,1;189694,55;82998,12;417240,42;351737,6;255741,66;209179,02
193304,01;380820,94;247169,19;30917,83;192238,84;190240,74;154661,8;229786,94;621791,32;83227,27;212396,15
208799,2;220854,72;254938,32;74195,68;189183,33;190372,24;51784,29;752782,35;442529,75;202860,03;213968,55
195687,36;59066,46;195960,18;183739,09;186237,72;189566;241740,73;464822,2;385052,77;195082,45;190288,57
204957,3;363694,93;248802,4;40900,31;185447,12;190939,03;278195,13;461139,39;324799,02;98777,34;238174,02
171574,31;227423,45;201846,24;177452,94;191121,41;190394,28;159941,06;303719,02;412687,57;195172,4;273929,39
197869,78;10987,94;192221,23;69613,1;189167,41;188306,98;111307,66;483864,57;417592,81;161043,24;258992,5
180270,43;194593,19;173685,31;202809,58;201517,22;190448,75;78999,87;392803,55;543581,18;105225,83;261221,69
191799,91;508267,08;251771,42;149633,39;187537,19;190241,24;170272,71;124416,44;734538,52;215842,93;206282,07
194250,4;216874,88;244303,35;25869,56;192119,39;188398,37;64370,38;503123,81;346209,95;64831,24;167975,98
199843,3;320795,86;301567,37;155507,64;197134,11;188599,76;120226,96;319646,21;373573,01;229582,96;271182,23
187511,73;174409,7;190745,16;8929,49;188473,07;190044,45;221983,74;459482,46;804580,02;105108,45;512269,9
205099,07;269306,58;209011,92;47460,64;188423,43;189632,68;159937,77;339251,35;431400,11;282162,71;242228,07
201398;324342,12;297165,65;52028,43;198474,4;189730,16;239169,26;177401,88;506659,3;279411,43;163820,87
215370,69;243124,68;288777,22;80142,62;191919,11;191414,39;123255,04;336408,33;548623,33;256481,67;205858,54
175784,4;197925,67;228078,88;62871,45;195439,31;191478,88;162543,68;289276,5;341025,6;142135,84;138186,37
176714,5;75351,67;198465,48;68398,08;193551,34;190740,67;290170,52;567328,96;421633,64;289631,84;176358,67
193441,89;170305,02;213253,65;33407,04;190195,68;188841,78;310699,94;374653,11;734714,34;120403,06;210906,03
185608,65;258673,23;248687,89;158127,02;192086,13;190655,71;216308,15;317606,01;615285,16;259674,17;242054,32
177343,44;269695,5;250845,49;122280,57;185552,96;190026,74;229867,52;382796,91;710401,72;198380,33;277193,21
183341,81;182234,25;236616,4;139007,86;186839,92;189144,05;150129,93;423684,63;589538,41;46373,51;45412,71
189210,89;134162,14;223194,2;77489,68;191689,89;189979,5;71383,48;453942,39;436014,09;51683,2;233582,63
176431,7;218846,45;191481,1;177088,23;179866,88;190061,2;139447,63;162745,11;706729,73;255295,64;246279,8
196148,54;237280,92;366228,71;5922,81;190994,46;190000,43;199888,95;420529,19;732721,63;204147,33;163029,34
204292,92;254257,36;244510,31;43407,06;193333,78;190030,77;75556,37;432990,66;546914,49;170860,59;293379,77
199695,99;303272,92;264113,25;35119,2;187227,84;189448,18;304438,6;519611,25;228956,54;190511,98;274465,25
185692,67;299720,43;311351,88;100995,45;190497,92;189860,23;211829,94;259377,36;188685,64;246101,06;278898,98
188314,59;167668,1;390705,48;18323,9;194133,95;188702,92;218314,66;510392,37;598095,71;301181,3;159726,59
203560,9;281054,69;115858,47;67794,82;198184,42;190462,07;44909,5;173621,33;365825,57;51032,83;198908,9
195221,49;260189,94;185231,2;44765,42;196927,2;189719,48;253252,31;467589,25;537051,7;237473;205695,22
183837,48;202706,01;212033,57;184497,46;181564,05;191660,05;385228,61;414795,07;535125,39;219742,59;273335,55
187350,12;208909,22;271735,21;18930,9;197297,18;190498,18;326062,35;321760,8;631179,77;316157,4;264696,3
202047,83;106231,3;124752,14;84627,4;190697,7;191048,66;309708,93;316589,18;436201,58;290740,72;220027,9
194626,35;438816,44;185589,87;43755,4;191796,73;191248,45;307751,49;324041,2;465348,26;252859,88;178120,87
205710,51;251882,74;289552,72;67600,34;198627,38;189489,63;213217,41;220269,5;287082,19;280882,25;299174,44
208674,75;229648,81;315699,67;4788,61;192959,02;191523,19;39278,78;320718,62;450673,15;344623,94;125582,46
194380,9;102442,29;313014,64;115195,83;188103,11;189196,06;258181,38;282416,52;417567,02;273625,86;147690,54
184598,9;264358,52;75549,86;68185,62;194426,31;189179,02;196320,78;369807,54;551527,19;282518,07;248591,42
197639,82;303886,96;219591,97;6136,3;188487,58;188943,99;306466,34;408532,71;314810,38;208278,76;146441,54
195200,75;132330,07;177407,62;22710,22;183977,29;190003,95;122579,97;566536,97;433013,99;152382,27;208567,09
188388,69;355854,94;141224,54;201782,72;192132,21;190808,56;244077,39;398830,55;505586,7;85384,03;313277,99
180372,97;299121,67;254867,46;86852,86;185079,66;189629,41;34595,88;312855,76;381444,9;210377,79;364605,53
192275,69;287962,44;218821,39;36096,05;185735,62;191072,11;167839,94;464781,64;251935,8;225028,98;15521,06
189521,4;130468,5;225618,09;153049,3;197484,75;190342,16;320949,04;493864,04;441641,64;177854,31;214341,71
205520,47;54166,24;134753,89;108317,58;189511,2;189449,15;307748,62;216611,86;378509,74;324080,48;221660,57
178669,03;172843,7;225846,3;5139,35;186059,07;191504,26;235756,44;569859,57;321923,02;235864,81;246815,51
175892,57;369127,33;121348,14;98930,67;195347,5;190324,02;90621,7;632854,48;441609,39;155854,91;229351,58
208215,3;242123,32;91491,36;108824,89;188140,96;190381,59;181086,04;553278,57;446210,74;67578,9;176491,12
188960,26;340515,39;266190,2;37860,32;188873,51;191008,85;159148,03;423896,5;593160,55;224098,44;20017,25
200258,56;120799,23;118996,92;108235,7;195433,59;190962,26;139873,48;308268,06;452502,42;333269,63;167517,88
204954,47;286912;289957,42;9702,49;189955,34;189715,52;103400,28;448894,77;592251,67;319376,67;291867,47
183467,89;179704,24;295172,25;38420,09;186551,34;188939,68;137560,06;445915;845531,5;228555,95;259801,97
187195,94;194980,54;120151,95;126042,35;194048,06;190036,92;102307,62;533426,67;521741,98;208287,09;165428,49
180599,88;210993,68;196976,42;107098,77;185452,7;190781,03;115830,68;392875,14;351394,49;221607,1;159349,74
187684,29;257358,77;211420,82;18481,2;189601,22;189506,17;131071,61;709813,75;412797,79;154372,4;107546,02
190090,15;37352,71;204902,38;92295,39;193106,65;190333,83;272154,93;315390,35;580661,55;244711,43;237666,95
190589,43;237423,68;151834,83;72508,5;182648,53;189261,67;344720,26;269295,97;508647,04;357677,59;304866,66
179358,51;209044,18;204220,96;150297,16;193078,22;189859,71;145774,47;99839,51;604896,35;225886,19;194222,72
188415,59;292335,56;163395,85;61438,85;189370,47;190466,4;158590,14;555765,69;379224,9;254893,67;322561,17
203577,67;282160,51;251940,64;12335,71;190814,36;189937,64;149227,39;330190,94;451136,49;349315,5;228453,46
187325,13;83982,79;241174,55;246889,22;186091,42;189814,53;82690,68;252638,75;432536,88;168003,39;238512,74
210933,5;311085,23;382898,82;168481,39;194117,66;190832,16;110582,55;487023,4;441680,48;163825,62;217601,12
179424,7;301364,94;29629,87;175770,34;197077,17;189543,14;195624,98;466664,26;287410,13;315786,01;131239,03
188692,48;263776,73;327682,05;113477,33;192656,99;189800,52;379739,9;551612,48;436362,32;250016,77;203023,97
193179,53;293079,94;199618,63;13080,55;185459,45;189984,9;265333,29;158102,42;294654,43;207386,52;197451,36
195867,71;107529,02;176532,04;10833,19;196422,01;190667,51;137198,79;351706,02;452291,79;156180,89;86864,16
183987,34;261403,28;247651,16;64274,84;191627,81;190120,71;109305,91;467860,27;425552,31;107406,27;168353,21
188378,75;123678,29;341570,86;33300,31;197297;190101,07;313219,46;626386,99;736757,75;285977,67;72814,53
180739,17;235569,71;159957,88;121217,77;187432,62;190318,32;181401,93;403878,74;393183,56;282979,45;133465,72
210766,52;234081,51;184027,68;110139,06;201728,95;190020,4;269546,11;385345,77;514510,22;38419,5;347505,06
209666,49;195557,37;206198,96;17986,23;193859,05;189676,36;143384,03;471141,45;412242,19;154994,01;165790,68
203840,97;239480,84;332886,17;75478,86;195194,61;191137,21;64199,78;364930,93;595547,99;352344,29;77494,6
210588,29;190997,04;194385,2;24001,62;191891,56;190841,11;157129,8;395305,59;392252,21;159164,16;96652,71
195168,63;298051,84;264518,01;133123,71;187455,58;189359,7;201574,63;522240,04;331589,06;99453,04;191312,98
195236,47;188618,34;267517,42;81379,79;199427,66;189517,09;335115,73;242669,86;404719,93;174806,85;133842,11
198751,73;219508,01;312790,25;48136,77;184480,86;190325,23;250667,43;502014,63;468879,6;170347,55;156176,98
185263,74;217659,74;148023,71;99644,91;199025,12;190966,3;282960,23;451166,96;503049;241480,71;68062,89
189611,29;219497,71;315571,81;67562,53;194731,45;189684,46;239418,39;523095,28;551707,85;164136,29;246777,74
195721,04;177613,31;148519,94;85927,35;190725,11;189679,25;113153,53;410418,62;398267,01;315765,63;147858,42
199871,3;167696,08;138625,26;150013,65;187464,11;189750,2;169755,79;457304,42;686123,15;452239,93;29211,7
174028,6;324469,71;226000,5;173859,34;197258,97;191769,65;186548,87;437121,99;618514;275492,51;254708,03
199802,9;278457,21;124902,7;23338,75;187261,06;190049,65;136770,07;272841,34;637047,05;228132,41;299971,27
193119,05;231236,63;324650,93;64233,89;185527,75;190557,96;236805,71;569628,45;409443,37;183228,09;287335,41
189539,7;78028,47;258781,79;4551,86;180798,29;189703,33;207530,03;318415,92;538514,8;219531,13;94033,86
207537,08;157031,7;271212,16;106272,27;188615,26;190460,19;35703,47;124280,5;666876,16;255628,68;238828,12
193976,98;159145,87;269912,69;65783,59;196129,73;189099,43;230606,24;230583,08;427728,37;279256,58;116535,61
179802,12;229289,16;69254,84;52423,26;186317,09;190178,97;267499,15;629089,56;440469,52;271056,65;112364,79
185801,05;168900,15;294365,03;43120,48;189622,04;190263,9;142716,01;347738,37;451495,78;321864,25;171986,08
185922,33;211480,63;233660,39;123592,79;188253,51;189675,57;8001,28;304298,75;652255,59;282880,55;162157,71
186941,74;399681,22;38736,29;38944,27;195989,19;190445,77;223896,12;469270,41;634784,31;4811,26;166409,37
181170,98;174288,12;84723,27;110770,93;190381,35;189884,95;223078,27;410661,1;575452,33;262409,12;155036,61
186433,13;62846,44;147615,92;24203,39;190428,72;188464,95;161572,17;193555,07;348551,14;363764,17;181988,81
199579,81;53239,15;338434,11;279901,77;186892,12;188877,65;130780,26;442002,78;452801,24;76604,86;234982,04
174529,46;264817,33;248960,51;60852,72;188020,87;190406,02;255485,05;326663,85;468591,31;304560,63;152507,81
183645,95;270938,11;141466,71;209410,53;188827,87;189369,01;71640,22;278220,79;503163,95;370244,46;164985,4
191331,41;251142,35;143742,83;89733,02;192021,63;189915,28;270393,5;634495,47;601584,71;252836,38;213508,94
179769,87;240962,22;213684,43;18376,08;184222,34;189188,76;187567,47;360990,38;335744,9;334689,31;198295,52
184889,76;231128,16;67442,38;24044,88;195177,13;188866,25;379942,09;218361,86;456234,74;214018,37;163708,63
179431,67;253862,88;138603,87;32032,3;181582,97;190897,44;327529,4;196477,21;342508,43;206272,18;330794,65
200823,57;106315,24;407198,3;194234,72;187504,35;190597,64;212076,15;449058,19;629228,18;147245,89;258515,05
200556,61;219747,04;397188,65;31873,59;193686,45;190261,5;285660,09;474924,54;507806,98;210898,63;133830,72
199881,09;161170,92;134009,45;123671,38;187757,32;189780,86;114592,07;447252,47;489796,9;261918,67;276890,36
193688,2;227095,17;298647,83;39784,94;186922,15;188890,1;147315,33;345506,65;356852,34;287970,23;94442,04
188986,12;15237,67;10436,53;13558,59;186332,61;189682,16;144641,61;472730,35;768042,8;134468,39;237304,88
189623,39;239597,46;340733,47;134017,38;185783,71;190886,46;136153,42;248242,86;437590,77;105335,4;195982,98
178121,41;310247,72;265264,46;5255,56;196780,92;189971,17;256473,3;448838,84;371791,47;323369,41;240832,19
189244,43;387488,43;320807,22;150798,78;191009,39;189623,93;279863,45;194349,67;672146,77;177476,64;250901,32
172030,85;150848,86;141741,96;92816,22;190123,03;191132,03;179078,41;863005,57;499413,03;352807,02;275014,6
197247,49;232828,6;323919,91;94248,98;193056,64;190147,45;323855,85;599050,28;369745,26;185255,95;232248,46
185169,88;181673,35;20047,27;62214,62;193113,53;190698,53;138652,35;396142,45;581106,68;325852,67;139635,15
181656,83;396030,41;58560,19;84082,02;195180,35;190586,03;233938,97;384069,2;476666,04;165784,91;102545,28
203936,28;330455,71;195648,89;95627,12;185376,55;189183,49;45460,53;178140,27;416303,73;124576,25;236320,99
186204,5;173315,4;264157;164012,96;179659,48;190528,12;211548,35;420178,23;724219,64;349312,18;158242,92
192997,55;176310,2;187035,01;143598,84;194200,99;189416,5;148290,1;438670,32;685162,8;215023,09;144865,83
199115,07;176327,02;266946,86;129151,14;189226,25;188934,39;331979,22;513045,71;444312,65;218939,95;133058,5
196628,79;134303,21;342598,09;118026,58;186270,53;191304,21;296634,59;319136,67;199205,96;204091,87;136255,9
202175,26;148769,15;265060,14;54248,67;196477,17;188910,12;63198,26;237699,93;496251,3;52035,07;256227,84
189553,47;40840,74;340033,56;110530,62;185221,17;189993,55;263573,5;443799,38;186221,94;173964,59;146814,09
177713,77;156586,17;239181,31;216266,48;190554,57;189773,64;298317,49;427478,98;602551,22;174175,57;51120,98
184024,82;177646,03;51085,37;78073,15;186223,85;189531,85;206424,71;443427,5;234641,77;221429,86;145381,06
169689,26;228591,5;334773,32;103986,43;188787,92;190867;260662,37;346679,59;755988,51;186748,82;193179,44
179566,04;292285,02;294051,6;76797,32;189166,91;189713,35;265106,18;591314,2;530305,18;197897,58;127514,73
190243,64;163484,94;205799,83;16985,33;190985,24;189376,05;243162,71;411641,79;677697,19;138872,28;235720,95
195835,02;184772,38;166677,8;182471,5;189923,16;189789,21;23796,7;387466,72;622731,49;302634,6;195074,36
199576,71;174964,73;211515,93;125485,82;185575,58;189698,29;259851,86;511587,83;591884,26;184954,15;301832,94
191877,75;101559,21;270796,7;6307,16;194156,29;191158,41;54324,32;531595,42;559517,26;200810,36;292448,27
192518,02;348361,39;156363,05;88636,78;197721,56;190571,86;207319,62;346609,19;683182,43;191149,85;223978,41
193094,12;130898,25;289575,83;57918,95;193302,55;188960,07;71136,14;711033,74;447896,43;248845,83;189692,56
199259,62;290355,05;238351,47;14831,87;192913,84;190074,78;147456,88;594639,59;671207,2;290416,61;189647,16
191466,51;134747,97;264482,64;101739,81;189662,8;189298,47;194028,78;334430,44;578324,9;89067,99;170159,28
192011,87;126620,05;152435,8;167847,54;192047,23;190756,25;198176,72;342335,36;428422,14;252132,93;106423,12
188556,68;266667,07;286063,36;109015,05;193347,11;189971,92;173227,49;647269,14;393381,46;285916,34;122191,69
189502,77;117900,65;177731,49;58498,03;192178,73;189080,54;155121,59;454744,25;503641,95;98745,21;223427,82
173407,52;208609,99;140537,87;84963,67;185164,2;189357,98;91462,38;343476,73;510428,36;173384,94;142196,08
169154,84;143999,81;31375,41;31349,64;183502,23;190475,58;149230,3;268648,05;651768,89;288273,76;187105,57
171444,67;216231,88;185149,22;71931,24;183089,52;189207,25;208921,27;342996,33;553309,57;321920,25;198204,95
185451,19;73553,88;126839,52;17112,02;193211,63;189411,51;11751,39;281462,46;282554,71;233411,27;197052,22
176568,72;136544,43;190415,26;110578,25;191567,36;189603,76;233845,14;565078,26;501432,65;194314,19;144884,27
184117,3;402329,03;186301,52;70292,42;188297,66;190089,49;207337,48;300686,26;378935,74;173739,23;235235,98
189295,59;96293,05;197566,9;102950,95;187043,31;188753,94;75604,75;388246,85;432527,82;261475,3;126345,83
186717,65;301970,39;287712,84;10753,87;188158,22;191697,3;106514,18;391149,15;355757,38;339617,77;250465,44
193215,75;191048,09;272192,37;176388,22;191504,79;189179,54;360597,97;546050,95;346823,55;251035,21;209577,42
198704,27;218906,19;279853,34;4334,73;190701,63;189590,15;335250,22;505451,03;102878,56;16040,1;119210,36
173172,95;263746,98;172018,97;120067,87;183832,61;189760,98;199793,96;387390,11;198573,85;250835,9;136574,73
201401,77;122228,32;109292,33;118259,52;181684,09;189875,43;262714,53;456276,35;710074,82;260278,32;304424,85
206656,63;397473,39;92730,68;24045,57;183545,84;189345,88;41830,4;426416,67;431472,86;88807,89;259672,12
190821,76;305084,39;95035,77;6438,5;188713,34;190464,47;60388,58;316645,93;670978,83;324437,99;236892
194857,81;257112,62;231809,61;74522,33;182002,39;189883,67;223311,33;181296,04;378467,06;175238,47;204944,73
213758,42;196945,07;61674,51;63789,62;197533,24;190714,86;230230,47;513025,81;601822,07;52359,68;98202,6
185137,57;177774,67;4695,76;29524,51;195312,86;191583,05;128671,15;533906,23;453530,57;357306,45;240317,04
188456,9;262828,84;282528,23;172668,77;183034,81;189056,92;169002,79;657144,1;354037,83;123625,21;135732,63
206278,26;362168,8;253113,57;36370,56;197207,86;190083,67;265355,44;255435,17;312238,38;354940,11;241040,11
187849,77;221081,01;31169,88;98319,88;197674,91;189369,39;281721,76;568658,57;532361,51;155788,7;246645,89
178376,87;205222,19;217445,02;9595,37;191614,97;191078,43;106258,61;387417,31;655048,6;271392,14;244115,75
189333,98;75287,38;77807,51;147887,5;188378,55;189456,95;216054,87;688689,57;625901,46;268873,61;235311,21
201533,2;150820,79;264006,36;166390,28;192414,56;188768,17;251867,49;433762,57;560312,48;256901,85;239458,3
202788,58;131406,22;3420,71;9538,82;183260,93;189568,69;242860,09;231631,92;258401,03;67049,1;172427,5
188272,13;323414,67;105633,3;14345,17;187167,36;189931,85;340824,96;112382,22;633442,57;75576,58;192500,05
204979,23;275037,39;294590,61;149646,42;191999,27;189554,94;238492,22;208814,17;513998,34;348344,38;250164,83
180333,29;65484,34;284561,06;202020,96;192133,65;190953,31;277349,77;435598,39;615712,7;311793,08;154643,45
172086,01;129863,19;184663,55;107643,75;187798,8;188320,27;154599,47;419605,94;245177,94;356970,65;208400,08
180464,41;119893,77;161771,2;192998,36;189698,62;189117,12;127785,24;506017,6;535899,49;194960,96;106832,16
200728,02;205635,81;75852,57;70025,1;187951,41;190601,49;160167,89;342392,51;602402,56;142391,82;201106,93
204912,74;282129,09;187687,2;137582,79;185960,05;190514,99;375869,07;621078,27;401283,93;44676,69;58830,4
198820,81;321610,39;18050,56;28656,85;188077,83;191263,47;252057,29;506208,51;537249,39;217867,07;297261,04
183364,67;181773,72;108499,16;63703,73;191352,88;189545,17;177574,67;452161,24;549979,95;182829,88;305069,6
192141,17;135454,74;138864,35;191093,11;190039,32;190663,51;278495,95;307850,81;617718,91;231408,05;141562,23
188522,96;173261,1;251481,55;129765,6;191062,35;190291,72;210387,05;478662,25;341913,85;186343,61;141393,33
187039,11;291980,95;119807,42;53585,42;187442,01;188808,32;31463,76;388868,13;678842,19;372944,2;141335,11
205312,34;339287,59;441892,77;80915,41;194438,95;188450,71;352107,53;221621,04;479262,61;162018;306397,1
188402,18;311787,37;77366,78;135460,78;186799,05;190450,12;284871,14;403078,91;391426,21;268534,86;245153,1
193136,95;178093,9;75901,12;130819,7;183774,13;189584,26;197125,3;145284,68;584327,58;272796,35;231642,38
198081,96;38079,85;401449,93;172359,61;191626,45;189343,26;98964,84;400118,11;526333,06;231936,21;139378,07
201602,18;307249,29;308749,3;30014,26;187913,16;190906,99;135887,44;388364,84;399926,93;231305,67;227562,03
188280,54;305225,02;275505,41;19709,1;186355,9;190796,24;74281,03;487304,58;522770,54;250288,62;218278,36
205663,4;293694,02;117547,41;14825,13;193987,46;190035,51;227936,44;776393,58;213738,19;310759,66;322914,17
179536,97;215931,85;4388,42;212140,58;184749,46;189326,05;204000,33;557775,05;703637,01;417557,67;339688,52
215454,55;279398,94;254354,92;41619,2;200091,79;188555,36;331659,17;547646,07;667401,21;279524,59;196378,66
185887,07;167996,6;283962,41;168189,09;189800,74;190438,87;249532,88;535417,7;448667,38;367032,14;280946,76
204701,98;136681,07;262550,2;34634,1;192249,88;190206,7;266120,02;296159,88;517316,51;400884,4;245600,36
189589,33;394537,15;290082,14;27469,47;185805,45;189790,76;174313,13;266004,81;595184,24;90760,01;223511,36
181747,02;225416,43;204177,63;12305,44;194370,81;190857,69;197125,64;269054,54;434043,03;178428,79;238564,37
193114,9;188938,13;275154,72;20859,64;207523,61;188505,4;209834,46;322879,94;507249,76;242643,64;311747,81
205462,66;211537,67;138312;10466,06;187317,34;190098,22;2342,99;418938,01;686385,4;226480,7;301310,7
201253,15;188243,21;144848,97;134368,27;192855,48;189437,8;162700,18;375414,42;522228,09;38642,9;103170,16
181866,97;61264,78;186094,1;278456,9;181758,35;189145,6;228953,86;420103,62;528498,76;235463,12;183329,55
175444,14;110159,7;246028,31;55395,94;192297,85;190096,71;91026,85;281263,17;772032,92;204517,43;115216,97
200719,63;384297,15;279994,13;150129,3;194764,69;189706,92;276095,88;399948,22;301925,61;211812,37;155647,42
192462,25;445599,24;187606,27;65086,19;187579,82;189183,74;319352,55;381282,31;355922,6;364090,42;284520,19
194906,34;144055,73;181293,94;62778,09;188683,7;191129,82;276753,35;297102,27;350808,08;219633,7;252883,36
197132,97;355217,53;142967,06;35236,49;183376,81;190466,26;242117,04;668592,21;727965,41;38206,74;100373,69
195734,11;41484,24;165092,43;10513,53;193233,01;190858,22;208413,61;593712,35;573668,15;229147,35;235338,81
171568,16;221964,67;69676,39;128553,8;182781,85;191396,67;197847,95;283679,54;372553,24;347020,12;144899,98
192832,95;212924,14;118637,59;14271,69;184884,32;190889,29;52756,75;205713,51;761214,15;164665,15;166754,48
188545,26;195188,58;201265,01;79495,33;195253,63;190243,91;233019,51;448984,24;366262,72;318338,36;146649,38
185044,23;133864,93;313772,51;47454,25;184563,91;190268,42;178495,3;415066,52;396794,02;326388,93;226175,27
206914,14;124021,91;20951,48;66180,3;189423,1;189694,26;202249,21;525415,5;549865,78;138488,7;202177,34
192774,64;6944,68;118893,78;73791,02;188638,06;189604,88;119159,76;419415,88;382425,8;66629,72;239703,72
187658,65;252992,16;162691,34;18677,2;191532,72;190469,35;194152,71;11059,09;419813,01;237346,73;239283,4
208533,44;51436,88;247398,05;42504,34;188792,32;189990,71;270605,78;190712,42;827307,18;274989,87;311237,11
213242,13;321161,03;326244,29;119493,4;182890,08;189837,17;292987;281733,26;330550,08;174819,25;168998,25
196041,92;81196,89;59601,06;111892,34;196183,43;189596,8;244753,8;607222,29;628154,71;413579,7;273610,99
196835,42;50995,21;134483,46;51787,36;191946,83;189742,4;146706,89;337517,95;493506,85;163843,66;150199,92
199744,77;86510,98;74999,82;34832,14;192081,62;188674,5;59941,02;351777,99;311199,62;19062,65;247918,55
192787,24;187535,76;218284,01;84313,91;185487,42;190398,38;178601,69;531241,84;367694,84;204969,35;177488,32
199304,39;163029,4;271959,76;101869,59;190225,93;190609,71;230550,65;569517,49;573579,95;210076,48;207841,95
188585,98;294072,12;78373,25;7857,32;179121,1;188048,25;293810,18;265518,65;609899,21;332962,3;218244,07
178582,84;59979,37;340392,09;126444,33;189853,63;191358,74;253211,84;224617,01;506490,75;309952,85;209556,22
174637,29;469750,31;177595,49;24136,53;192822,5;189644,41;303555,02;386237,34;664625,19;101238,91;139889,36
199098,71;143673,71;57940,82;95411,74;187311,84;189900,64;129749,02;420063,16;416069,46;297329,02;211249,46
168227,1;82452,11;234653,39;85727,53;187502,78;189505,5;70438,5;355944,56;466314,15;151153,72;295613,12
210619,7;199699,51;177006,51;50462,17;197046,63;189396,43;229984,1;414456,05;485281,43;170409,61;109258,7
194450,92;301906,9;167662,74;27974,74;190431,53;189749,34;170542,46;428642,83;348936,23;414071,15;204437,65
190537,6;273711,61;30053,44;63909,6;190553,18;189453,19;186714,43;305348,87;472239,83;167290,14;211701,41
190654,01;181492,4;203613,06;112230,62;190253,79;189370,57;162662,54;542317,75;324879,48;180648,13;86045,21
